SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, 0.3900, 39, 0.09223182, -0.05189651, -0.95077550, 5.15072584, 11.03341866, 32.34449005, -179.71353149, -45.62993240, -17.71411896, -3.76366043, 5.57843065, 139.99780273, 0.33994752, 0.05692074, 0.01418583, -0.93861312, 0.00412910, 0.11774087, -0.04239038, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.4000, 40, 0.06992356, -0.04579219, -0.91060954, 2.36063433, 10.86534691, 32.11306381, -177.90119934, -44.51914597, -17.18795586, -3.70908761, 5.70777130, 140.31271362, 0.33734080, 0.05778009, 0.01351058, -0.93951058, 0.02869856, 0.11049122, -0.08240968, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.4100, 41, 0.04613153, -0.04534497, -0.87826669, 0.33039272, 10.75132561, 31.75606728, -180.82432556, -46.53609848, -18.79567337, -3.67445087, 5.83549976, 140.62425232, 0.33475012, 0.05868896, 0.01300683, -0.94038767, 0.05471616, 0.10930100, -0.11457719, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.4200, 42, 0.02490892, -0.04297358, -0.84549099, -1.59979880, 11.14925003, 31.09562683, -180.15199280, -45.13300323, -18.06489372, -3.62921596, 5.94289303, 140.93530273, 0.33217537, 0.05940343, 0.01248031, -0.94126248, 0.07808249, 0.10640629, -0.14716645, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.4300, 43, 0.01541801, -0.03625565, -0.82561153, -2.47586036, 11.37292957, 30.49481964, -180.15199280, -45.13300323, -18.06489372, -3.62269592, 6.07567596, 141.23410034, 0.32966870, 0.06044232, 0.01219590, -0.94208103, 0.08955768, 0.09912172, -0.16687396, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.4400, 44, 0.01317042, -0.02684358, -0.81263870, -3.28937125, 10.81669617, 29.87625885, -178.86582947, -46.44840622, -17.74334908, -3.62425590, 6.20250750, 141.52709961, 0.32720542, 0.06145776, 0.01199752, -0.94287634, 0.09404840, 0.08967741, -0.17960912, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.4500, 45, 0.01100929, -0.02037030, -0.80111289, -3.36621857, 9.48134804, 29.13117599, -181.90586853, -46.18532562, -19.11721611, -3.62668395, 6.31555462, 141.81355286, 0.32479909, 0.06236430, 0.01184744, -0.94365031, 0.09827882, 0.08323899, -0.19090696, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.4600, 46, -0.00001274, -0.01382398, -0.78732800, -3.08340502, 7.13591528, 28.30905914, -177.02426147, -46.18532562, -17.42180634, -3.62652230, 6.40467834, 142.09329224, 0.32245737, 0.06306838, 0.01174492, -0.94440770, 0.11101422, 0.07669075, -0.20450176, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.4700, 47, -0.00525485, -0.00172133, -0.77116287, -2.12793326, 4.02544355, 26.90719032, -178.95352173, -48.26074219, -16.89564514, -3.60542321, 6.43160105, 142.36996460, 0.32017666, 0.06320269, 0.01164712, -0.94517553, 0.11731400, 0.06443658, -0.22055769, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.4800, 48, -0.01643913, 0.00055292, -0.75186431, -1.42378950, 5.03051615, 26.00006294, -178.01812744, -48.26074219, -18.00643158, -3.59062481, 6.49812317, 142.62792969, 0.31802851, 0.06368367, 0.01148064, -0.94587016, 0.12914160, 0.06177245, -0.23980786, 0.00000000, 0.00000000, 0.00000000, 0.00000000
